instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,temp_real,atemp_real,hum_real,windspeed_real
1,2011-01-01,1,0,1,0,6,0,2,0.399,0.363625,0.805833,0.160446,331,654,985,16.359,18.18125,80.58330000000001,10.749882
2,2011-01-02,1,0,1,0,0,0,2,0.422,0.353739,0.696087,0.248539,131,670,801,17.302,17.686950000000003,69.6087,16.652113
3,2011-01-03,1,0,1,0,1,1,1,0.228,0.189405,0.437273,0.248309,120,1229,1349,9.348,9.47025,43.7273,16.636703
4,2011-01-04,1,0,1,0,2,1,1,0.232,0.212122,0.590435,0.160296,108,1454,1562,9.512,10.6061,59.0435,10.739832
5,2011-01-05,1,0,1,0,3,1,1,0.263,0.22927,0.436957,0.1869,82,1518,1600,10.783000000000001,11.4635,43.695699999999995,12.522300000000001
6,2011-01-06,1,0,1,0,4,1,1,0.237,0.233209,0.518261,0.0895652,88,1518,1606,9.716999999999999,11.66045,51.8261,6.0008684
7,2011-01-07,1,0,1,0,5,1,2,0.228,0.208839,0.498696,0.168726,148,1362,1510,9.348,10.44195,49.8696,11.304642
8,2011-01-08,1,0,1,0,6,0,2,0.191,0.162254,0.535833,0.266804,68,891,959,7.831,8.1127,53.5833,17.875868
9,2011-01-09,1,0,1,0,0,0,1,0.161,0.116175,0.434167,0.36195,54,768,822,6.601,5.80875,43.416700000000006,24.25065
10,2011-01-10,1,0,1,0,1,1,1,0.175,0.150888,0.482917,0.223267,41,1280,1321,7.175,7.5443999999999996,48.2917,14.958889
11,2011-01-11,1,0,1,0,2,1,2,0.196,0.191464,0.686364,0.122132,43,1220,1263,8.036,9.5732,68.6364,8.182844000000001
12,2011-01-12,1,0,1,0,3,1,1,0.2,0.160473,0.599545,0.304627,25,1137,1162,8.200000000000001,8.02365,59.954499999999996,20.410009
13,2011-01-13,1,0,1,0,4,1,1,0.191,0.150883,0.470417,0.301,38,1368,1406,7.831,7.544149999999999,47.0417,20.166999999999998
14,2011-01-14,1,0,1,0,5,1,1,0.187,0.188413,0.537826,0.126548,54,1367,1421,7.667,9.42065,53.7826,8.478716
